,category,sub_category,product
0,Beauty & Hygiene,Cosmétique maison DIY,Homemade cosmetic recipes
1,Beauty & Hygiene,Cosmétique maison DIY,"Ustensile, contenant DIY"
2,Beauty & Hygiene,Douche et Bain,Bath brush and accessory
3,Beauty & Hygiene,Douche et Bain,Galets et sels de bain
4,Beauty & Hygiene,Douche et Bain,Gel shower
5,Beauty & Hygiene,Douche et Bain,Savon
6,Beauty & Hygiene,Douche et Bain,Liquid soap
7,Beauty & Hygiene,Epilation,Cires épilatoires
8,Beauty & Hygiene,Epilation,Crèmes dépilatoires
9,Beauty & Hygiene,Epilation,Soins épilation
10,Beauty & Hygiene,Hygiene,Cotons-tiges
11,Beauty & Hygiene,Hygiene,"Adult diapers, incontinence"
12,Beauty & Hygiene,Hygiene,Coupes menstruelles
13,Beauty & Hygiene,Hygiene,Menstrual panties
14,Beauty & Hygiene,Hygiene,Deodorants
15,Beauty & Hygiene,Hygiene,Eponges Konjac
16,Beauty & Hygiene,Hygiene,Come to my time
17,Beauty & Hygiene,Hygiene,Handkerchiefs
18,Beauty & Hygiene,Hygiene,Paper toilet
19,Beauty & Hygiene,Hygiene,Towels and panty liners
20,Beauty & Hygiene,Hygiene,Dental care
21,Beauty & Hygiene,Hygiene,Tampons écologiques
22,Beauty & Hygiene,Makeup,Le Teint
23,Beauty & Hygiene,Makeup,Les Lèvres
24,Beauty & Hygiene,Makeup,Les Ongles
25,Beauty & Hygiene,Makeup,The Eyes
26,Beauty & Hygiene,Makeup,Pinceaux et accessoires
27,Beauty & Hygiene,Soins Homme,Deodorants and eau de toilette
28,Beauty & Hygiene,Soins Homme,"Safety razor, accessories"
29,Beauty & Hygiene,Soins Homme,Soins du visage homme
30,Beauty & Hygiene,Soins Homme,Soins pour la Barbe
31,Beauty & Hygiene,Soins Homme,Soins pour le rasage
32,Beauty & Hygiene,Sun Care,Autobronzants
33,Beauty & Hygiene,Sun Care,Baby and child sunscreens
34,Beauty & Hygiene,Sun Care,Crèmes solaires corps
35,Beauty & Hygiene,Sun Care,Tinted sunscreens
36,Beauty & Hygiene,Sun Care,Facial sun creams
37,Beauty & Hygiene,Sun Care,Monoi
38,Beauty & Hygiene,Hair care,Natural colors
39,Beauty & Hygiene,Hair care,Styling gel and cream
40,Beauty & Hygiene,Hair care,2 in 1 shower shampoo
41,Beauty & Hygiene,Hair care,Shampoo by hair type
42,Beauty & Hygiene,Hair care,Treatment shampoo
43,Beauty & Hygiene,Hair care,Volume and shine shampoo
44,Beauty & Hygiene,Hair care,Hair care
45,Beauty & Hygiene,Body care,Body sets
46,Beauty & Hygiene,Body care,Eau de toilette and Perfume
47,Beauty & Hygiene,Body care,Scrub
48,Beauty & Hygiene,Body care,Vegetable and dry oils
49,Beauty & Hygiene,Body care,Body milks
50,Beauty & Hygiene,Body care,Slimming and firmness
51,Beauty & Hygiene,Body care,Hand and nail care
52,Beauty & Hygiene,Body care,Foot and leg care
53,Beauty & Hygiene,Facial care,Face box
54,Beauty & Hygiene,Facial care,Makeup removers and cleansers
55,Beauty & Hygiene,Facial care,Scrubs and exfoliants
56,Beauty & Hygiene,Facial care,"Mature skin, anti-aging"
57,Beauty & Hygiene,Facial care,Combination to oily skin
58,Beauty & Hygiene,Facial care,"Normal skin, moisturizing care"
59,Beauty & Hygiene,Facial care,Dry and sensitive skin
60,Beauty & Hygiene,Facial care,Facial Saunas
61,Beauty & Hygiene,Facial care,Eye contour care
62,Beauty & Hygiene,Facial care,Lip care
63,Beauty & Hygiene,Clay Care,Ready-to-use clay
64,Beverage,Alcohol,Organic waters and liqueurs
65,Beverage,Alcohol,Organic spirits
