date_date,orders_id,customers_id,country,department,total_quantity,total_turnover
2019-01-01,571,560,FRANCE,77.0,52,92.71
2019-01-01,287,282,FRANCE,17.0,19,97.94
2019-01-01,113,113,FRANCE,50.0,20,94.15
2019-01-01,519,510,FRANCE,22.0,8,73.78
2019-01-01,224,222,FRANCE,13.0,2,27.99
2019-01-01,544,533,FRANCE,13.0,14,57.080000000000005
2019-01-01,217,215,FRANCE,81.0,6,62.92
2019-01-01,46,46,FRANCE,11.0,46,135.24
2019-01-01,150,149,FRANCE,11.0,2,16.62
2019-01-01,179,178,FRANCE,6.0,10,38.120000000000005
2019-01-01,139,139,FRANCE,13.0,5,17.03
2019-01-01,397,390,FRANCE,86.0,13,47.94999999999999
2019-01-01,143,143,FRANCE,75.0,8,96.58
2019-01-01,174,173,FRANCE,33.0,11,107.8
2019-01-01,165,164,FRANCE,71.0,27,121.13
2019-01-01,234,232,FRANCE,71.0,12,66.95
2019-01-01,276,273,FRANCE,12.0,16,53.4
2019-01-01,556,545,FRANCE,6.0,58,194.34
2019-01-01,84,84,FRANCE,75.0,27,110.39
2019-01-01,177,176,FRANCE,80.0,11,51.03999999999999
2019-01-01,498,491,FRANCE,40.0,9,71.62
2019-01-01,186,185,FRANCE,72.0,10,79.05000000000001
2019-01-01,188,187,FRANCE,69.0,13,82.94
2019-01-01,389,382,FRANCE,75.0,25,101.34
2019-01-01,394,387,FRANCE,2.0,11,79.89
2019-01-01,211,210,FRANCE,44.0,22,87.96000000000001
2019-01-01,261,258,FRANCE,5.0,29,211.68
2019-01-01,290,285,FRANCE,58.0,11,71.05
2019-01-01,411,404,FRANCE,75.0,4,38.1
2019-01-01,318,311,FRANCE,76.0,3,11.79
2019-01-01,191,190,FRANCE,78.0,7,73.68
2019-01-01,562,551,FRANCE,45.0,32,103.85
2019-01-01,3,3,FRANCE,92.0,20,86.91
2019-01-01,558,547,FRANCE,75.0,13,93.7
2019-01-01,250,248,FRANCE,54.0,8,76.86
2019-01-01,108,108,FRANCE,60.0,18,81.75999999999999
2019-01-01,358,351,FRANCE,6.0,27,82.16
2019-01-01,447,440,FRANCE,85.0,8,76.23
2019-01-01,444,437,FRANCE,95.0,40,159.10000000000002
2019-01-01,192,191,FRANCE,69.0,7,16.48
2019-01-01,69,69,FRANCE,77.0,10,41.45
2019-01-01,104,104,FRANCE,69.0,4,48.260000000000005
2019-01-01,190,189,FRANCE,26.0,14,61.370000000000005
2019-01-01,36,36,FRANCE,83.0,31,93.47
2019-01-01,123,123,FRANCE,38.0,4,16.98
2019-01-01,200,199,FRANCE,31.0,6,38.88
2019-01-01,105,105,FRANCE,93.0,23,139.86
2019-01-01,271,268,FRANCE,75.0,32,83.79
2019-01-01,107,107,FRANCE,29.0,6,72.62
2019-01-01,350,343,FRANCE,75.0,7,47.190000000000005
2019-01-01,563,552,FRANCE,35.0,22,81.64999999999999
2019-01-01,272,269,FRANCE,6.0,2,38.43
2019-01-01,218,216,FRANCE,64.0,10,111.3
2019-01-01,58,58,FRANCE,83.0,6,35.84
2019-01-01,197,196,FRANCE,44.0,13,75.65
2019-01-01,378,371,FRANCE,38.0,13,43.98
2019-01-01,366,359,FRANCE,56.0,14,80.58
2019-01-01,208,207,FRANCE,86.0,12,82.09
2019-01-01,541,530,FRANCE,63.0,34,461.99
2019-01-01,160,159,FRANCE,72.0,12,69.60000000000001
2019-01-01,342,335,FRANCE,91.0,6,16.29
2019-01-01,452,445,FRANCE,67.0,6,83.84
2019-01-01,352,345,FRANCE,30.0,25,116.62
2019-01-01,281,263,FRANCE,75.0,2,19.67
2019-01-01,121,121,FRANCE,57.0,5,32.02
2019-01-01,72,72,FRANCE,31.0,16,92.02
2019-01-01,383,376,FRANCE,1.0,17,75.44
2019-01-01,520,511,FRANCE,84.0,13,88.80000000000001
2019-01-01,384,377,FRANCE,91.0,2,12.27
2019-01-01,226,224,FRANCE,77.0,8,89.86999999999999
2019-01-01,255,252,FRANCE,75.0,37,95.59
2019-01-01,469,462,FRANCE,94.0,8,78.61999999999999
2019-01-01,426,419,FRANCE,94.0,38,174.79999999999998
2019-01-01,44,44,FRANCE,44.0,18,69.11
2019-01-01,168,167,FRANCE,86.0,1,27.16
2019-01-01,348,341,FRANCE,69.0,14,59.79
2019-01-01,262,259,FRANCE,17.0,5,180.41
2019-01-01,466,459,FRANCE,78.0,21,79.82
2019-01-01,316,292,FRANCE,18.0,24,74.47999999999999
2019-01-01,480,473,FRANCE,7.0,9,83.7
2019-01-01,314,308,FRANCE,33.0,3,12.37
2019-01-01,229,227,FRANCE,38.0,6,51.55
2019-01-01,132,132,FRANCE,67.0,6,41.09
2019-01-01,517,508,FRANCE,42.0,6,26.24
2019-01-01,399,392,FRANCE,13.0,17,84.53
2019-01-01,92,92,FRANCE,2.0,8,34.09
2019-01-01,458,451,FRANCE,68.0,41,95.33
2019-01-01,59,59,FRANCE,59.0,11,24.85
2019-01-01,79,79,FRANCE,78.0,2,43.82
2019-01-01,320,313,FRANCE,69.0,17,78.44
2019-01-01,43,43,FRANCE,92.0,19,67.39999999999999
2019-01-01,110,110,FRANCE,74.0,12,77.74
2019-01-01,254,251,FRANCE,78.0,15,99.07
2019-01-01,100,100,FRANCE,28.0,6,88.3
2019-01-01,334,327,FRANCE,91.0,13,40.52
2019-01-01,457,450,FRANCE,65.0,22,107.87
2019-01-01,273,270,FRANCE,83.0,16,116.65
2019-01-01,153,152,FRANCE,8.0,1,83.3
2019-01-01,138,138,FRANCE,95.0,6,96.86
2019-01-01,268,265,FRANCE,42.0,4,47.66
2019-01-01,412,405,FRANCE,40.0,9,37.4
2019-01-01,85,85,FRANCE,5.0,11,80.45
2019-01-01,12,12,FRANCE,64.0,4,40.11
2019-01-01,308,303,FRANCE,92.0,1,46.85
2019-01-01,449,442,FRANCE,69.0,6,48.150000000000006
2019-01-01,73,73,FRANCE,93.0,16,80.71
2019-01-01,405,398,FRANCE,95.0,13,58.14000000000001
2019-01-01,543,532,FRANCE,1.0,24,83.64999999999999
2019-01-01,207,206,FRANCE,60.0,42,77.19000000000001
2019-01-01,547,536,FRANCE,81.0,19,189.49
2019-01-01,460,453,FRANCE,78.0,13,67.59
2019-01-01,445,438,FRANCE,95.0,7,36.690000000000005
2019-01-01,526,490,FRANCE,33.0,7,56.900000000000006
2019-01-01,142,142,FRANCE,93.0,4,59.69
2019-01-01,518,509,FRANCE,73.0,10,88.82000000000001
2019-01-01,279,276,FRANCE,61.0,29,70.56
2019-01-01,62,62,FRANCE,42.0,16,104.73000000000002
2019-01-01,22,22,FRANCE,33.0,4,39.45
2019-01-01,540,529,FRANCE,47.0,9,74.15
2019-01-01,516,507,FRANCE,69.0,52,145.99999999999997
2019-01-01,435,428,FRANCE,78.0,12,31.940000000000005
2019-01-01,193,192,FRANCE,94.0,6,71.8
2019-01-01,422,415,FRANCE,93.0,14,93.69
2019-01-01,28,28,FRANCE,23.0,8,78.48
2019-01-01,321,314,FRANCE,73.0,22,83.11
2019-01-01,542,531,FRANCE,77.0,6,54.23
2019-01-01,9,9,FRANCE,93.0,6,136.34
2019-01-01,310,305,FRANCE,76.0,1,104.3
2019-01-01,280,277,FRANCE,13.0,2,9.69
2019-01-01,203,202,FRANCE,1.0,13,30.66
2019-01-01,65,65,FRANCE,75.0,11,156.95999999999998
2019-01-01,225,223,FRANCE,62.0,32,75.66
2019-01-01,409,402,FRANCE,59.0,5,70.94
2019-01-01,427,420,FRANCE,62.0,17,89.0
2019-01-01,388,381,FRANCE,34.0,15,73.88
2019-01-01,125,125,FRANCE,34.0,6,63.42000000000001
2019-01-01,403,396,FRANCE,77.0,4,16.87
2019-01-01,26,26,FRANCE,75.0,15,76.48
2019-01-01,296,291,FRANCE,59.0,15,75.64999999999999
2019-01-01,251,249,FRANCE,42.0,5,28.34
2019-01-01,575,564,FRANCE,75.0,22,108.45
2019-01-01,135,135,FRANCE,77.0,3,20.32
2019-01-01,392,385,FRANCE,31.0,18,62.59
2019-01-01,213,197,FRANCE,68.0,76,202.65
2019-01-01,454,447,FRANCE,71.0,5,72.91
