date_date,orders_id,customers_id,country,department,total_quantity,total_turnover
2019-01-01,571,560,FRANCE,77,52,92.71000000000001
2019-01-01,287,282,FRANCE,17,19,97.94
2019-01-01,113,113,FRANCE,50,20,94.15
2019-01-01,519,510,FRANCE,22,8,73.78
2019-01-01,224,222,FRANCE,13,2,27.99
2019-01-01,544,533,FRANCE,13,14,57.080000000000005
2019-01-01,217,215,FRANCE,81,6,62.92
2019-01-01,46,46,FRANCE,11,46,135.24
2019-01-01,150,149,FRANCE,11,2,16.62
2019-01-01,179,178,FRANCE,06,10,38.120000000000005
2019-01-01,139,139,FRANCE,13,5,17.03
2019-01-01,397,390,FRANCE,86,13,47.94999999999999
2019-01-01,143,143,FRANCE,75,8,96.58
2019-01-01,174,173,FRANCE,33,11,107.8
2019-01-01,165,164,FRANCE,71,27,121.13000000000001
2019-01-01,234,232,FRANCE,71,12,66.95
2019-01-01,276,273,FRANCE,12,16,53.4
2019-01-01,556,545,FRANCE,06,58,194.34
2019-01-01,84,84,FRANCE,75,27,110.39
2019-01-01,177,176,FRANCE,80,11,51.03999999999999
2019-01-01,498,491,FRANCE,40,9,71.62
2019-01-01,186,185,FRANCE,72,10,79.05000000000001
2019-01-01,188,187,FRANCE,69,13,82.94
2019-01-01,389,382,FRANCE,75,25,101.33999999999999
2019-01-01,394,387,FRANCE,02,11,79.89
2019-01-01,211,210,FRANCE,44,22,87.96000000000001
2019-01-01,261,258,FRANCE,05,29,211.67999999999998
2019-01-01,290,285,FRANCE,58,11,71.05
2019-01-01,411,404,FRANCE,75,4,38.099999999999994
2019-01-01,318,311,FRANCE,76,3,11.79
2019-01-01,191,190,FRANCE,78,7,73.68
2019-01-01,562,551,FRANCE,45,32,103.85
2019-01-01,3,3,FRANCE,92,20,86.91
2019-01-01,558,547,FRANCE,75,13,93.7
2019-01-01,250,248,FRANCE,54,8,76.86
2019-01-01,108,108,FRANCE,60,18,81.75999999999999
2019-01-01,358,351,FRANCE,06,27,82.16
2019-01-01,447,440,FRANCE,85,8,76.23
2019-01-01,444,437,FRANCE,95,40,159.10000000000002
2019-01-01,192,191,FRANCE,69,7,16.48
2019-01-01,69,69,FRANCE,77,10,41.449999999999996
2019-01-01,104,104,FRANCE,69,4,48.260000000000005
2019-01-01,190,189,FRANCE,26,14,61.370000000000005
2019-01-01,36,36,FRANCE,83,31,93.47000000000001
2019-01-01,123,123,FRANCE,38,4,16.98
2019-01-01,200,199,FRANCE,31,6,38.88
2019-01-01,105,105,FRANCE,93,23,139.86
2019-01-01,271,268,FRANCE,75,32,83.79
2019-01-01,107,107,FRANCE,29,6,72.62
2019-01-01,350,343,FRANCE,75,7,47.190000000000005
2019-01-01,563,552,FRANCE,35,22,81.64999999999999
2019-01-01,272,269,FRANCE,06,2,38.43
2019-01-01,218,216,FRANCE,64,10,111.3
2019-01-01,58,58,FRANCE,83,6,35.84
2019-01-01,197,196,FRANCE,44,13,75.65
2019-01-01,378,371,FRANCE,38,13,43.98
2019-01-01,366,359,FRANCE,56,14,80.58
2019-01-01,208,207,FRANCE,86,12,82.09
2019-01-01,541,530,FRANCE,63,34,461.99
2019-01-01,160,159,FRANCE,72,12,69.60000000000001
2019-01-01,342,335,FRANCE,91,6,16.29
2019-01-01,452,445,FRANCE,67,6,83.84
2019-01-01,352,345,FRANCE,30,25,116.61999999999999
2019-01-01,281,263,FRANCE,75,2,19.67
2019-01-01,121,121,FRANCE,57,5,32.019999999999996
2019-01-01,72,72,FRANCE,31,16,92.02000000000001
2019-01-01,383,376,FRANCE,01,17,75.44
2019-01-01,520,511,FRANCE,84,13,88.80000000000001
2019-01-01,384,377,FRANCE,91,2,12.27
2019-01-01,226,224,FRANCE,77,8,89.86999999999999
2019-01-01,255,252,FRANCE,75,37,95.59
2019-01-01,469,462,FRANCE,94,8,78.61999999999999
2019-01-01,426,419,FRANCE,94,38,174.79999999999998
2019-01-01,44,44,FRANCE,44,18,69.11
2019-01-01,168,167,FRANCE,86,1,27.16
2019-01-01,348,341,FRANCE,69,14,59.79
2019-01-01,262,259,FRANCE,17,5,180.41
2019-01-01,466,459,FRANCE,78,21,79.82
2019-01-01,316,292,FRANCE,18,24,74.47999999999999
2019-01-01,480,473,FRANCE,07,9,83.7
2019-01-01,314,308,FRANCE,33,3,12.370000000000001
2019-01-01,229,227,FRANCE,38,6,51.55
2019-01-01,132,132,FRANCE,67,6,41.089999999999996
2019-01-01,517,508,FRANCE,42,6,26.240000000000002
2019-01-01,399,392,FRANCE,13,17,84.53
2019-01-01,92,92,FRANCE,02,8,34.089999999999996
2019-01-01,458,451,FRANCE,68,41,95.33000000000001
2019-01-01,59,59,FRANCE,59,11,24.85
2019-01-01,79,79,FRANCE,78,2,43.82
2019-01-01,320,313,FRANCE,69,17,78.44
2019-01-01,43,43,FRANCE,92,19,67.39999999999999
2019-01-01,110,110,FRANCE,74,12,77.74
2019-01-01,254,251,FRANCE,78,15,99.07000000000001
2019-01-01,100,100,FRANCE,28,6,88.3
2019-01-01,334,327,FRANCE,91,13,40.52
2019-01-01,457,450,FRANCE,65,22,107.87
2019-01-01,273,270,FRANCE,83,16,116.65
2019-01-01,153,152,FRANCE,08,1,83.3
2019-01-01,138,138,FRANCE,95,6,96.86
2019-01-01,268,265,FRANCE,42,4,47.66
2019-01-01,412,405,FRANCE,40,9,37.4
