,index,date_date,orders_id,customers_id,country,department,total_quantity,total_turnover
0,5546,2019-01-08,6497,6272,FRANCE,95.0,16,68.89
1,5547,2019-01-08,5994,5798,FRANCE,17.0,34,123.76999999999998
2,5548,2019-01-08,6034,5836,FRANCE,38.0,59,114.5
3,5549,2019-01-08,6054,5856,FRANCE,74.0,9,26.39
4,5550,2019-01-08,6420,6198,FRANCE,75.0,14,61.49000000000001
5,5551,2019-01-08,5978,5783,FRANCE,51.0,2,18.95
6,5552,2019-01-08,6377,6158,FRANCE,75.0,13,86.63000000000001
7,5553,2019-01-08,6040,5842,FRANCE,64.0,1,27.62
8,5554,2019-01-08,6418,6196,FRANCE,33.0,2,33.25
9,5555,2019-01-08,6072,5873,FRANCE,74.0,15,98.33
10,5556,2019-01-08,6241,6036,FRANCE,60.0,12,53.38
11,5557,2019-01-08,6415,6193,FRANCE,75.0,4,88.82000000000001
12,5558,2019-01-08,5973,5779,FRANCE,93.0,63,137.87
13,5559,2019-01-08,6430,6208,FRANCE,59.0,11,36.93
14,5560,2019-01-08,5863,5679,FRANCE,34.0,10,116.38
15,5561,2019-01-08,6225,6021,FRANCE,57.0,9,70.24000000000001
16,5562,2019-01-08,6062,5864,FRANCE,13.0,8,82.81
17,5563,2019-01-08,6368,6149,FRANCE,1.0,4,41.04
18,5564,2019-01-08,6094,2355,FRANCE,39.0,15,88.33
19,5565,2019-01-08,6450,6227,FRANCE,77.0,26,85.01
20,5566,2019-01-08,6500,6275,FRANCE,69.0,26,78.86
21,5567,2019-01-08,5824,5641,FRANCE,44.0,6,24.21
22,5568,2019-01-08,5959,5767,FRANCE,80.0,3,8.41
23,5569,2019-01-08,5982,5787,FRANCE,44.0,16,123.81999999999998
24,5570,2019-01-08,5896,5709,FRANCE,46.0,3,19.71
25,5571,2019-01-08,6238,6034,FRANCE,33.0,19,107.79
26,5572,2019-01-08,6035,5837,FRANCE,58.0,10,134.59
27,5573,2019-01-08,6434,6212,FRANCE,77.0,7,58.09
28,5574,2019-01-08,6446,6223,FRANCE,33.0,26,68.92999999999999
29,5575,2019-01-08,6333,6117,FRANCE,33.0,45,157.86
30,5576,2019-01-08,5873,5689,FRANCE,69.0,2,12.36
31,5577,2019-01-08,6219,6015,FRANCE,21.0,4,87.33
32,5578,2019-01-08,5809,5627,FRANCE,54.0,50,124.52
33,5579,2019-01-08,5895,5708,FRANCE,93.0,26,153.21999999999997
34,5580,2019-01-08,6264,6055,FRANCE,54.0,16,76.99000000000001
35,5581,2019-01-08,5870,5686,FRANCE,54.0,1,15.46
36,5582,2019-01-08,6013,5816,FRANCE,92.0,46,200.45999999999995
37,5583,2019-01-08,5881,5695,FRANCE,31.0,34,108.17
38,5584,2019-01-08,5817,5634,FRANCE,68.0,16,70.95
39,5585,2019-01-08,5998,5802,FRANCE,5.0,9,73.3
40,5586,2019-01-08,5942,5750,FRANCE,13.0,1,236.71
41,5587,2019-01-08,6165,5963,FRANCE,59.0,15,72.88
42,5588,2019-01-08,6332,1750,FRANCE,71.0,13,43.61
43,5589,2019-01-08,6198,3598,FRANCE,38.0,11,58.48
44,5590,2019-01-08,5949,5757,FRANCE,25.0,3,13.47
45,5591,2019-01-08,6330,6115,FRANCE,86.0,1,39.29
46,5592,2019-01-08,6031,5833,FRANCE,69.0,4,32.1
47,5593,2019-01-08,6064,5866,FRANCE,14.0,25,65.97
48,5594,2019-01-08,6261,6052,FRANCE,91.0,25,102.29
49,5595,2019-01-08,5922,5735,FRANCE,94.0,9,65.39
50,5596,2019-01-08,5905,5718,FRANCE,63.0,13,97.44
51,5597,2019-01-08,6439,6217,FRANCE,92.0,18,64.7
52,5598,2019-01-08,6433,6211,FRANCE,83.0,7,26.47
53,5599,2019-01-08,6485,6260,FRANCE,85.0,14,33.61
54,5600,2019-01-08,5886,5700,FRANCE,62.0,8,73.37
55,5601,2019-01-08,5844,5661,FRANCE,40.0,12,62.34
56,5602,2019-01-08,6323,6109,FRANCE,75.0,1,2.76
57,5603,2019-01-08,6079,5880,FRANCE,73.0,26,102.78000000000002
58,5604,2019-01-08,6237,6033,FRANCE,91.0,58,165.45999999999998
59,5605,2019-01-08,6027,5830,FRANCE,92.0,14,99.35
60,5606,2019-01-08,6152,5950,FRANCE,89.0,9,76.28
61,5607,2019-01-08,6390,6169,FRANCE,35.0,25,64.09
62,5608,2019-01-08,5984,5789,FRANCE,68.0,5,72.43
63,5609,2019-01-08,6311,6097,FRANCE,32.0,13,45.290000000000006
64,5610,2019-01-08,6305,6091,FRANCE,28.0,14,48.92
65,5611,2019-01-08,6466,6243,FRANCE,38.0,11,90.15
66,5612,2019-01-08,6405,6184,FRANCE,13.0,8,61.31
67,5613,2019-01-08,6041,5843,FRANCE,59.0,49,186.14
68,5614,2019-01-08,6022,5825,FRANCE,83.0,7,44.47
69,5615,2019-01-08,5847,5664,FRANCE,33.0,12,39.02
70,5616,2019-01-08,6403,6182,FRANCE,77.0,11,100.93000000000002
71,5617,2019-01-08,6320,6106,FRANCE,69.0,3,76.9
72,5618,2019-01-08,6462,6239,FRANCE,83.0,18,87.18
73,5619,2019-01-08,5849,5666,FRANCE,2.0,13,105.71
74,5620,2019-01-08,6376,6157,FRANCE,35.0,4,39.60000000000001
75,5621,2019-01-08,5960,5768,FRANCE,14.0,18,76.67999999999999
76,5622,2019-01-08,6173,5971,FRANCE,6.0,9,75.32000000000001
77,5623,2019-01-08,6235,6031,FRANCE,19.0,11,60.61000000000001
78,5624,2019-01-08,6295,6082,FRANCE,67.0,20,116.65
79,5625,2019-01-08,6326,1519,FRANCE,35.0,1,35.73
80,5626,2019-01-08,6169,5967,FRANCE,47.0,12,81.02000000000001
81,5627,2019-01-08,6372,6153,FRANCE,31.0,13,66.57
82,5628,2019-01-08,6047,5849,FRANCE,33.0,4,15.01
83,5629,2019-01-08,5879,5693,FRANCE,6.0,6,28.24
84,5630,2019-01-08,6431,6209,FRANCE,56.0,13,80.30000000000001
85,5631,2019-01-08,5816,5604,FRANCE,69.0,11,74.44
86,5632,2019-01-08,6328,6113,FRANCE,78.0,5,48.08
87,5633,2019-01-08,6507,6281,FRANCE,6.0,16,86.36000000000001
88,5634,2019-01-08,5843,5660,FRANCE,74.0,25,62.8
89,5635,2019-01-08,6516,6290,FRANCE,94.0,17,64.49
90,5636,2019-01-08,6262,6053,FRANCE,17.0,7,26.93
91,5637,2019-01-08,5871,5687,FRANCE,94.0,9,58.05
92,5638,2019-01-08,6233,6029,FRANCE,59.0,36,173.59
93,5639,2019-01-08,6052,5854,FRANCE,61.0,2,7.57
94,5640,2019-01-08,6306,6092,FRANCE,56.0,11,70.83
