iter	Logloss
0	0.6892109341
1	0.6860889859
2	0.6830214183
3	0.6800072564
4	0.6774902768
5	0.6744216919
6	0.6715839386
7	0.6686872694
8	0.6657384237
9	0.6627970378
10	0.6596762339
11	0.6569281684
12	0.6545641157
13	0.6525305854
14	0.650159412
15	0.6474409315
16	0.6452061123
17	0.6432652791
18	0.6409509447
19	0.6386542426
20	0.6367901272
21	0.6349159241
22	0.6332051595
23	0.6313749101
24	0.6293046316
25	0.6272577498
26	0.6250747681
27	0.6235691071
28	0.6218669044
29	0.6198505825
30	0.618311988
31	0.6169063144
32	0.6153990852
33	0.6137221442
34	0.6123550415
35	0.6110840691
36	0.6097876655
37	0.6081681993
38	0.607218594
39	0.6057589213
40	0.6046980964
41	0.6031963772
42	0.6021377987
43	0.6008169386
44	0.599629932
45	0.5983926137
46	0.597458903
47	0.5962551541
48	0.5950223287
49	0.5941570706
50	0.5929271274
51	0.591771698
52	0.5907117632
53	0.5898024241
54	0.5888805813
55	0.5877207438
56	0.5865609911
57	0.5857574463
58	0.5849219428
59	0.583922153
60	0.5827771505
61	0.5819347805
62	0.5808824751
63	0.5799640232
64	0.5790061951
65	0.5781937493
66	0.5771218194
67	0.5763896518
68	0.5756860521
69	0.5749481625
70	0.574127833
71	0.5734717475
72	0.5727709452
73	0.5722876655
74	0.5715551588
75	0.5709964328
76	0.5701717801
77	0.569558843
78	0.569004737
79	0.5686238183
80	0.567846934
81	0.5674961938
82	0.5669718848
83	0.5663276249
84	0.5658965217
85	0.5652708266
86	0.5646608988
87	0.5641422696
88	0.5636451721
89	0.5631376902
90	0.5627117157
91	0.5621485816
92	0.5616646661
93	0.5613693661
94	0.560838657
95	0.5602622138
96	0.5598572625
97	0.559337616
98	0.5586917453
99	0.5582817501
100	0.5577795664
101	0.5572711945
102	0.5569332971
103	0.5565255059
104	0.5562173631
105	0.5557864719
106	0.5554273817
107	0.5549207899
108	0.5545771281
109	0.5540937636
110	0.5536865658
111	0.5532320658
112	0.5527038574
113	0.5521337297
114	0.5518525865
115	0.551462894
116	0.5510410733
117	0.5506894853
118	0.5502944099
119	0.5499519348
120	0.5496112823
121	0.5492775811
122	0.5490152147
123	0.548722585
1124	0.5487895966
125	0.5483726501
126	0.5479314168
127	0.5477033827
128	0.5475629171
129	0.5472922431
130	0.5469069587
131	0.5466309865
132	0.5462728712
133	0.5459170024
134	0.5455045064
135	0.5451946682
136	0.5447569953
137	0.5443902757
138	0.5440472921
139	0.5437386407
140	0.5434555478
141	0.5432046678
142	0.5429533217
143	0.5427650452
144	0.5424923367
145	0.5421805488
146	0.5420317756
147	0.5417973836
148	0.5414968279
149	0.5412253062
150	0.5409754011
151	0.5406851874
152	0.5402057224
153	0.5399100833
154	0.5396611532
155	0.5393410577
156	0.5392116123
157	0.5389748043
158	0.5386572944
159	0.5383919186
160	0.538058726
161	0.5377528297
162	0.5374104818
163	0.5371520572
164	0.536888716
165	0.5366847992
166	0.5364737193
167	0.5361057705
168	0.5359371609
169	0.5356089274
170	0.5354224735
171	0.5352062225
172	0.5349411011
173	0.5346903059
174	0.5344088236
175	0.5342632294
176	0.5340147654
177	0.5338341183
178	0.5336353302
179	0.5334649828
180	0.533196089
181	0.5331440396
182	0.5329829746
183	0.5328854879
184	0.532670678
185	0.5325107151
186	0.5322330475
187	0.532022349
188	0.5318217807
189	0.5316451179
190	0.5315283457
191	0.5312953525
192	0.5311829037
193	0.5309612698
194	0.5307701959
195	0.5305481381
196	0.5301556905
197	0.5299351162
198	0.5298074087
199	0.529574585
200	0.5293947008
201	0.5292123159
202	0.5288675096
203	0.5286977132
204	0.5286672804
205	0.5285240173
206	0.5284548442
207	0.5282055325
208	0.5279705048
209	0.5278516981
210	0.5275713603
211	0.527413898
212	0.5272444831
213	0.5270387861
214	0.5269170125
215	0.526818339
216	0.5266487122
217	0.5265694512
218	0.5264712863
219	0.526292589
220	0.5262014601
221	0.5260240343
222	0.5257919312
223	0.5255875058
224	0.5254196167
225	0.5252182431
226	0.5251100328
227	0.5249272664
228	0.5248234643
229	0.5246084001
230	0.5244249132
231	0.5242655012
232	0.5240519206
233	0.5239004347
234	0.5238176982
235	0.5235976325
236	0.5235616048
237	0.5232996199
238	0.5231896718
239	0.5231642405
240	0.5228508843
241	0.5227001614
242	0.5226054721
243	0.522511461
244	0.5222676595
245	0.5221427917
246	0.5219825321
247	0.5218991597
248	0.521726142
249	0.521540451
250	0.5214427524
251	0.5213591258
252	0.5212836372
253	0.5209909227
254	0.5208816528
255	0.520715332
256	0.5204766168
257	0.5203333537
258	0.5202798631
259	0.5200913323
260	0.5199078878
261	0.5198393504
262	0.519713974
263	0.519589742
264	0.5194869995
265	0.5192669339
266	0.5190903558
267	0.5189449734
268	0.5187819587
269	0.5185916901
270	0.5184571584
271	0.5184044732
272	0.5183670044
273	0.5181566874
274	0.5180515713
275	0.5178931342
276	0.5177350362
277	0.5175956726
278	0.5174599542
279	0.5172685835
280	0.5171172248
281	0.5170612759
282	0.5169678582
283	0.5168942769
