iter	Passed	Remaining
0	2	2387
1	3	1917
2	41	13749
3	47	11915
4	57	11446
5	68	11356
6	74	10582
7	77	9552
8	84	9250
9	86	8597
10	96	8637
11	101	8351
12	102	7796
13	104	7324
14	105	6919
15	106	6562
16	108	6249
17	109	5968
18	110	5712
19	114	5632
20	116	5427
21	117	5238
22	118	5043
23	120	4885
24	121	4740
25	135	5076
26	139	5030
27	145	5045
28	146	4913
29	149	4843
30	151	4731
31	155	4707
32	157	4622
33	158	4517
34	167	4628
35	173	4638
36	174	4539
37	183	4648
38	184	4547
39	187	4490
40	188	4404
41	189	4325
42	193	4315
43	195	4243
44	200	4245
45	210	4365
46	212	4299
47	218	4341
48	220	4273
49	222	4222
50	223	4159
51	224	4099
52	226	4041
53	227	3984
54	228	3929
55	229	3875
56	231	3825
57	232	3775
58	234	3734
59	235	3688
60	236	3646
61	238	3601
62	239	3569
63	241	3528
64	245	3529
65	247	3500
66	249	3473
67	250	3437
68	252	3407
69	254	3380
70	255	3347
71	257	3314
72	260	3304
73	263	3291
74	266	3283
75	271	3297
76	274	3289
77	275	3259
78	279	3264
79	280	3230
80	282	3202
81	296	3317
82	297	3288
83	306	3338
84	307	3310
85	313	3333
86	319	3349
87	323	3347
88	324	3318
89	325	3289
90	333	3332
91	335	3306
92	342	3335
93	343	3306
94	344	3279
95	100	343	396	3101	344	97	35102	354	3086
103	3599	365	104	3100	373	3324
101	376	3311
102	377	3286
103	384	3310
104	385	109	386	3125
110	390	3127
111	391	3106
112	393	3085
113	394	3064
114	395	3045
115	399	3041
116	408	3082
117	409	3062
118	413	3061
119	415	3049
120	417	3029
121	420	3023
122	421	3006
123	424	2996
124	443	3104
125	450	3122
126	451	3103
127	454	3093
128	455	3072
129	456	3054
130	460	3058
131	462	3042
132	464	3025
133	476	3079
134	479	3074
135	482	3062
136	483	3044
137	486	3036
138	487	3021
139	494	3037
140	496	3021
141	499	3021
142	503	3015
143	504	2998
144	515	3037
145	516	3020
146	518	3010
147	520	2995
148	521	2979
149	533	3021
150	542	3052
151	547	3053
152	548	3037
153	563	3098
154	565	3081
155	574	3108
156	587	3154
157	588	3138
158	590	3121
159	609	3198
160	610	3181
161	626	3238
162	633	3254
163	640	3266
164	642	3250
165	657	3302
166	658	3284
167	666	3300
168	667	3283
169	669	3266
170	670	3250
171	671	3233
172	673	3218
173	674	3202
174	675	3186
175	677	3170
176	678	3154
177	679	3139
178	681	3124
179	682	3108
180	683	3093
181	684	3076
182	685	3061
183	688	3053
184	690	3040
185	691	3026
186	692	3012
187	694	2998
188	695	2984
189	696	2970
190	698	2958
191	699	2945
192	701	2931
193	702	2918
194	703	2904
195	704	2891
196	706	2879
197	707	2866
198	709	2853
199	710	2841
200	711	2830
201	713	2818
202	714	2806
203	716	2794
204	717	2781
205	718	2769
206	719	2757
207	721	2745
208	722	2734
209	723	2723
210	725	2712
211	726	2700
212	727	2689
213	729	2678
214	730	2668
215	732	2657
216	733	2646
217	734	2635
218	735	2624
219	737	2613
220	738	2602
221	740	2593
222	741	2583
223	742	2573
224	744	2562
225	745	2552
226	746	2542
227	747	2532
228	749	2522
229	750	2512
230	752	2503
231	753	2494
232	754	2484
233	756	2475
234	757	2464
235	758	2455
236	759	2445
237	761	2437
238	762	2428
239	763	2418
240	764	2409
241	766	2400
242	767	2391
243	768	2382
244	770	2374
245	771	2365
246	773	2357
247	774	2348
248	775	2340
249	777	2331
250	778	2322
251	779	2314
252	780	2305
253	782	2298
254	783	2290
255	785	2281
256	786	2273
257	787	2265
258	789	2258
259	790	2250
260	792	2242
261	793	2234
262	794	2226
263	795	2218
264	797	2211
265	798	2203
266	799	2195
267	801	2188
268	802	2181
269	803	2173
270	805	2166
271	806	2158
272	807	2151
273	809	2143
274	810	2136
275	811	2129
276	813	2123
277	814	2116
278	816	2109
279	817	2102
280	818	2095
281	820	2088
282	821	2081
283	823	2075
284	824	2068
285	825	2062
286	827	2055
287	828	2048
288	829	2041
289	831	2035
290	832	2028
291	833	2021
292	835	2016
293	836	2009
294	838	2003
295	839	1996
296	840	1990
297	842	1984
298	843	1978
299	845	1972
300	846	1965
301	847	1959
302	849	1953
303	851	1948
304	852	1943
305	854	1937
306	855	1930
307	856	1924
308	857	1917
309	858	1911
310	860	1905
311	861	1900
312	863	1894
313	865	1891
314	867	1885
315	868	1879
316	869	1873
317	870	1867
318	871	1861
319	873	1855
320	874	1849
321	875	1843
322	877	1838
323	878	1832
324	879	1826
325	880	1820
326	882	1816
327	883	1810
328	884	1804
329	887	1800
330	888	1795
331	889	1789
332	890	1783
333	891	1777
334	892	1772
335	894	1767
336	895	1762
337	896	1756
338	898	1751
339	899	1746
340	900	1740
341	902	1735
342	903	1730
343	904	1724
