,date,product,salesperson,units_sold,sales_amount
0,2022-01-01,B,Bob,7,27
1,2022-01-02,A,Alice,1,41
2,2022-01-03,B,Alice,8,33
3,2022-01-04,C,Charlie,6,80
4,2022-01-05,B,Bob,2,38
5,2022-01-06,A,Bob,9,93
6,2022-01-07,A,Charlie,3,32
7,2022-01-08,C,Alice,4,32
8,2022-01-09,B,Bob,9,20
9,2022-01-10,B,Bob,5,63
10,2022-01-11,C,Charlie,6,69
11,2022-01-12,A,Charlie,1,82
12,2022-01-13,B,Bob,3,99
13,2022-01-14,A,Charlie,8,99
14,2022-01-15,B,Charlie,4,72
15,2022-01-16,A,Charlie,8,70
16,2022-01-17,A,Alice,4,96
17,2022-01-18,C,Bob,4,98
18,2022-01-19,B,Alice,4,92
19,2022-01-20,B,Charlie,1,51
20,2022-01-21,C,Bob,4,65
21,2022-01-22,B,Bob,9,29
22,2022-01-23,C,Charlie,6,96
23,2022-01-24,A,Charlie,5,79
24,2022-01-25,A,Alice,3,64
25,2022-01-26,B,Bob,5,88
26,2022-01-27,B,Bob,2,71
27,2022-01-28,B,Charlie,7,57
28,2022-01-29,B,Bob,8,47
29,2022-01-30,B,Alice,1,41
